繁體中文,简体中文,英文,註解
實質引數,实质参量,actual argument,
實質參數清單,实质参数列表,actual parameter list,
非循環圖,非循环图,acyclic graph,
廣告橫幅,广告标志,ad banner,
介面卡,适配器,adapter,其實配接卡並沒有錯誤。微軟從眾了。
加入現有項目,添加现有项目,add Existing Item,
加入現有專案,添加现有项目,add Existing Project,
加入資料夾,添加文件夹,add Folder,
加入項目,添加项目,add Item,
加入為,添加为,add as,
加入驅動程式,添加驱动程序,add device driver,
加入新項目,添加新项目,add new Item,
加入新的專案,添加新的项目,add new Project,
加入新的方案項目,添加新的方案项目,add new Solution Item,
加入新的硬體,添加新硬件,add new hardware,
加入新的,添加新的,add new,
新增個人信箱,增添个人信箱,add personal mailbox,
加入到輸出,添加至输出,add to Output,
加入到解決方案,添加至解决方案,add to Solution,
增益功能,加载功能,add-In,
增益集,加载项,add-ins,
新增/移除,增添/移除,add/Remove,
新增/移除程式,增添/移除程序,add/remove program,只用在控制台元件
新增/移除,添加/移除,add/remove,只用在控制台元件
加法運算子,加法运算符,addition operator,
額外,附加的,additional,
加法類運算子,加法类运算符,additive operator,
通訊錄,地址簿,address book,
位址衝突,地址冲突,address conflict,
位址模式,地址模式,address mode,
位址限制,地址限制,address restriction,
地址空間,编址空间,address space,
位址空間,地址空间,address space,
位址,地址,address,
定址,编址,address,
取址運算子,取地址运算符,address-of operator,
定址模式,编址模式,addressing mode,
定址,编址,addressing,
調整欄位,调整列宽,adjust column,
管理主控台,管理主控台,administration console,
系統管理人帳號,系统管理人帐户,administrator account,
管理人,管理人,administrator,manager: 管理器(對物) administrator: 管理人(對人) supervisor: 監督人
進階,高级,advanced,
售後服務,跟踪服务,after service,
代理程式,代理程序,agent,
彙總資料欄位,汇总数据区域,aggregate Field,
彙總函式,汇总函数,aggregate function,
彙總物件,汇总对象,aggregate object,
彙總查詢,汇总查询,aggregate query,
彙總類型,汇总类型,aggregate type,
彙總,汇总,aggregate,
彙總,汇总,aggregation,
警示,警报,alarm,
相簿,相簿,album,
警示方塊,警报框,alert boxes,
演算法,算法,algorithm,
別名,别名,alias,
別名,别名,aliasing,
鋸齒,锯齿,aliasing,
置中對齊,居中对齐,align center,
靠左對齊,左对齐,align left,
靠右對齊,右对齐,align right,
對齊文字,对齐文字,align text,
貼齊格線,均匀排列,align to grid,
所有檔案,全部文件,all files,
所有類型,全部类型,all types,
分派器,分派器,allocator,
允許,允许,allow,
字母順序,字母顺序,alphabetic,
已經移除,已被删除,already removed,
替代文字,替代文字,alternate text,
替代文字,替代文本,alternative text,
模稜兩可,模棱两可,ambiguity,
模稜兩可的運算式,模棱两可的表达式,ambiguous expression,
類比,模拟,analog,
類比數位,模拟数字,analog-digital,
分析器,分析器,analyzer,
錨定,锚定,anchor,
角括弧,角括弧,angle bracket,
動畫按鈕,动画按钮,animated button,
動畫游標,动画光标,animated cursor,
動畫控制項,动画控件,animation control,
附註,附注,annotation,
匿名登入,匿名登录,anonymous Logins,
匿名類別,匿名类,anonymous class,
匿名結構,匿名结构,anonymous structure,
匿名等位,匿名等位,anonymous union,
符合 ANSI C 的規範,符合 ANSI C 的规范,ansi C Compliance,
ANSI 字串,ANSI 字符串,ansi string,
應答失敗,应答失败,answer failed,
應答模式,应答方式,answer mode,
立即應答,开始应答,answer now,
應答逾時,应答超时,answer timeout,
反對數,反对数,antilogarithm,
外觀方案,外观方案,appearance scheme,
外觀,外观,appearance,
應用程式工作區,应用程序工作区,application Workspace,
應用程式類別,应用程序类,application class,
應用程式框架,应用程序框架,application framework,
應用程式佇列,应用程序队列,application queue,
應用程式逐步解說,应用程序逐步解说,application walkthrough,
應用程式,应用程序,application,
壓縮檔案,压缩文件,archive file,
確定要變更,确实要更改,are you sure you want to change,
確定要,确实要,are you sure,
引數常數,参量常量,argument constant,
引數巨集,参量宏,argument macros,
引數類型,参量类型,argument type,
引數類型,参量类型,argument types,
引數,参量,argument,與 parameter 參數區分
算術移位,算术移位,arithmetic shift,
排列資料表,排列数据表,arrange Tables,
排列按鈕,排列按钮,arrange buttons,
排列圖示,排列图标,arrange icons,
排列選取範圍,排列选定范围,arrange selection,
陣列共異變數,数组共异变量,array covariance,
陣列指標,数组指标,array pointer,
陣列類型,数组类型,array type,
矩陣式組織,数组组织,array,
陣列,数组,array,
方向鍵,箭头键,arrow key,
人工智慧,人工智能,artificial intelligence,
演出者名稱,艺术家名,artist,
ASCII 字元,ASCII 字符,ascii character,
外觀比例,外观比例,aspect ratio,
組合語言,汇编语言,assembly language,
判斷提示,判断提示,assert,
判斷提示,判断提示,assertion,
指派運算子,分配运算符,assignment operator,
指派操作子,分配运算符,assignment operator,
指派陳述式,分配陈述式,assignment statement,
指派,分配,assignment,
關聯的副檔名,相关扩展名,associated file extension,
關聯的,关联的,associated,
順序關聯性,顺序关联性,associativity,
非同步中止,非同步中止,asynchable abort,
非同步認可,非同步认可,asynchable commit,
非同步呼叫,非同步调用,asynchronous call,
非同步告知,非同步告知,asynchronous notification,
非同步作業,非同步作業,asynchronous operation,
非同步處理,非同步处理,asynchronous processing,
非同步查詢,非同步查询,asynchronous query,
非同步,非同步,asynchronous,
屬性,属性,attribute,
音訊壓縮器,音频压缩器,audio compressors,
音訊,音频文件,audio file,
音訊格式,音频格式,audio format,
音訊,音频,audio,
音訊視訊交錯 (AVI),音频视频交错 (AVI),audio-video interleaved,
稽核,稽核,audit,
驗證,证实,authenticate,
已驗證,已证实,authenticated,
正在驗證,正在证实,authenticating,
驗證方案,证实方案,authentication scheme,
驗證,证实,authentication,
作者,作者,author,
撰寫,撰写,author,
授權,授权,authority,版權
自動顯示資料提示,自动显示数据提示,auto data tips,
自動增量,自动增量,auto increment,
自動縮排,自动缩排,auto indent,
自動列出成員,自动列出成员,auto list Members,
自動組態,自动配置,automatic configuration,
自動物件,自动对象,automatic object,
自動儲存類別,自动保存类,automatic storage class,
自動變數,自动变量,automatic variable,
自動,自动,automatic,
自動指定,自动分配,automatically assign,
自動連線,自动连接,automatically connect,
自動執行,自动运行,automatically execute,
自動復原,自动撤销,autorollback,
輔助進位旗標,辅助进制旗标,auxiliary carry flag,
輔助檔案,辅助文件,auxiliary file,
可用的增益集,可用的加载项,available Add-Ins,
可用的按鈕,可用按钮,available button,
平均值,均值,average value,
B 磁碟機,B 驱,b drive,
後端,后端,back end,
網路骨幹,网络骨干,backbone,
背景色彩,背景颜色,background color,
背景模式,背景模式,background mode,
背景音樂,背景音乐,background music,
背景,背景,background,
後備視窗,后备窗口,backing windows,
退格鍵,退格键,backspace character,
備份檔案,备份文件,backup file,
回溯相容性,回溯兼容性,backward compatibility,
退一幀,退一帧,backward one frame,
反向引用,反向引用,backward referencing,
平衡,平衡,balance,
汽球,汽球,balloon,
頻寬,带宽,bandwidth,
橫幅框架,横幅框架,banner frame,
橫幅,横幅,banner,
長條圖,条状图,bar chart,
條碼閱讀機,条码读出器,barcode reader,
基底位址,基地址,base address,
基礎類別,基类,base class,
基準線,基线,base line,
基底類型,基底类型,base type,
基本組態,基本配置,basic configuration,
基本事件,基本事件,basic events,
基本物件事件,基本对象事件,basic object Events,
基本 Web 事件,基本 Web 事件,basic web Events,
批次擷取,批量采集,batch capture,
批次檔案,批文件,batch file,
批次更新,批次更新,batch update,
批次,批次,batch,
鮑率,波特,baud rate,
蜂鳴,蜂鸣,beep,通知對話方塊中的標籤(suntw)
行為,行为,behavior,
最好品質,最好质量,best quality,
最佳可行函式,最佳可行函数,best viable function,
最好,最好,best,
測試版,测试版,beta version,
測試版,测试版,beta,
較好品質,较好质量,better quality,
較好,较好,better,
斜面,斜面,bevel,
斜入,斜入,beveled In,
斜出,斜出,beveled Out,
雙向系統,双向系统,bidirectional system,
雙向,双向,bidirectional,
雙語言,双语言,bilingual,
二元運算子,二元运算符,binary operator,
二分搜尋法,二分查找,binary search,
二元樹,二叉树,binary tree,
二進位,二进制,binary,
繫結內容,绑定内容,bind context,
繫結器,绑定器,binder,
繫結,绑定,binding,
位元欄位,位区域,bit field,
位元,位,bit,
位元運算子,位运算符,bit-wise operators,
點陣圖檔案,位图文件,bitmap file,
點陣圖資源,位图资源,bitmap resource,
點陣圖,位图,bitmap,
位元遮罩,位掩码,bitmask,
位元率,比特率,bitrate,
逐位元複製,逐位复制,bitwise copy,
位元運算子,位运算符,bitwise operator,
逐位元,逐位,bitwise,
混色,混色,blended,
混色,混色,blending,
區塊,列块,block,
模糊,模糊,blur,
登機證,登机牌,boarding pass,
未定案,未定案,boilerplate,
書籤文字,书签文字,bookmark Text,
書籤,书签,bookmark,
布林值,布尔值,boolean,
啟動載入程式,启动载入程序,bootstrap program,
啟動載入器,启动载入器,bootstrapper,
上方框線,上方框线,border above,
邊緣樣式,边缘样式,border style,
邊線,边界,border,(SUN)
下方邊界,下方边界,bottom margin,
繫結欄位,系结区域,bound column,
盒狀收縮,盒状收缩,box In,
盒狀放射,盒状放射,box Out,
括號對稱,括号对称,brace Matching,
括號,括号,bracket,
有括號的運算式,有括号的表达式,bracketed expression,
中斷使用者連線,断开用户连接,break user connection,
中斷點文字,断开点文字,breakpoint Text,
中斷點,断开点,breakpoint,
橋接器,网桥,bridge,
簡潔,简洁,brief,
公事包,公文包,briefcase,
亮度,亮度,brightness,
上移一層,上移一层,bring Forward,
提到最上層,提到最上层,bring to Front,
寬頻,宽带,broadband,
廣播位址,广播地址,broadcast address,
中斷的連結,断开的链接,broken link,
橋接路由器,网桥路由器,brouter,
瀏覽方式,浏览方式,browse With,
瀏覽按鈕組,浏览按钮组,browse buttons,
瀏覽資訊檔案,浏览信息文件,browse information file,
瀏覽外觀,浏览外观,browse looks,
瀏覽字型,浏览字体,browse typefaces,
瀏覽器,浏览器,browser,
筆刷,笔刷,brush,
協同控制項,协同控件,buddy Control,
緩衝,缓冲,buffer,
緩衝區,缓冲区,buffer,
組建資訊,构建信息,build Info,
組建組態,构建配置,build configuration,
組建標籤,构建标签,build tag,
組建,构建,build,
內建資料類型,内置数据类型,build-in type,
內建,内置,build-in,
產生器,生成器,builder,
建置區塊,建置列块,building Block,
內建功能表,内置菜单,built-in Menus,
內建按鈕,内置按钮,built-in button,
大量複製工具程式,大量复制工具程序,bulk Copy Program,
大量資料錄欄位交換,大量数据录区域交换,bulk RFX,
大量資料錄欄位交換,大量数据录区域交换,bulk record field exchange,
大量資料列擷取,大量数据列采集,bulk row fetching,
燒錄,刻录,burn CD-ROM,
匯流排,总线,bus,
商務邏輯層,商务逻辑层,business Logic Layer,
商務物件,商务对象,business object,
商務處理流程,商务处理流程,business process,
商務規則,商务规则,business rule,
商務區,商务区,business,
忙碌中,正忙,busy,
按鈕常數,按钮常量,button Constants,
按鈕陰影較深部分,按钮阴影较深部分,button Dark Shadow,
按鈕表面,按钮表面,button Face,
按鈕反白顯示,按钮反白显示,button Highlight,
按鈕陰影較淺部分,按钮阴影较浅部分,button Light Shadow,
按鈕的陰影,按钮的阴影,button Shadow,
按鈕文字,按钮文字,button Text,
按鈕控制項,按钮控件,button control,
按鈕,按钮,button,
依附件,按附件,by attach,
依附件,按附件,by attachment,
依城市,按城市,by city,
依公司,按公司,by company,
依日期,按日期,by date,
依描述,按描述,by description,
依討論,按讨论,by discuss,
依磁碟機代號,按驱动器名,by drive,
依電郵,按电邮,by email,
依旗標,按旗标,by flag,
依資料夾,按文件夹,by folder,
依可用空間,按可用空间,by free space,
依位置,按位置,by location,
依信件,按信件,by mail,
信件軟體,邮件程序,by mailer,
依名稱,按名称,by name,
依暱稱,按昵称,by nickname,
依原始位置,按源位置,by origin,
依優先,按优先,by priorities,
依特性,按特性,by properties,
依收信,按收信,by received,
依寄信人,按寄信人,by sender,
依發信人,按发信人,by sender,
依寄信,按寄信,by sent,
依伺服器,按服务器,by server,
依服務,按服务,by service,
依大小,按大小,by size,
依由小而大,按从小到大,by size,
依狀態,按状态,by status,
依主題,按主题,by subject,
搭計程車,打的,by taxi,
依電話,按电话,by telephone,
依類型,按类型,by type,
依未讀,按未读,by unread,
位元組陣列,字节数组,byte array,
位元組,字节,byte,
Bytecode,Bytecode,bytecode,
C 呼叫慣例,C 调用惯例,c calling convention,
C 連繫規範,C 连系规范,c linkage specifier,
封包專案節點,数据包项目节点,cab Project Node,
封包檔案產生器,数据包文件生成器,cabinet Builder,
封包,数据包,cabinet,
快取,缓存,cache,
快取區,缓存区,cache,
小算盤,计算器,calculator,
日曆,日历,calendar,
呼叫堆疊,调用栈,call Stack,
呼叫樹狀圖,调用树状图,call Tree,
呼叫層級介面,调用级别介面,call level interface,
呼叫運算子,调用运算符,call operator,
呼叫返回,调用返回,call return,
回呼欄位,回调区域,callback field,
回呼函式,回调函数,callback function,
呼叫慣例,调用惯例,calling convention,
呼叫外部程序,调用外部程序,calling external procedures,
呼叫順序,调用顺序,calling sequence,
攝影機,摄像机,camcoder,
取消鍵,取消键,cancel key,
候選函式,候选函数,candidate function,
無法存取,不能访问,cannot access,
無法開啟,不能打开,cannot open,
畫布,画布,canvas,
標題,标题,caption,
擷取檔案,捕捉文件,capture file,
已擷取視訊,已采集视频,captured video,
插入號,插入号,caret,
換行字元,回车符,carriage return character,
換行字元,回车符,carriage return,
復位換行組 (CRLF),复位换行组 (CRLF),carriage return-linefeed,
層疊式功能表,层叠式菜单,cascade Menus,
重疊顯示視窗,层叠窗口,cascade display window,
重疊顯示,层叠窗口,cascade window,
串聯,串联,cascade,
重疊視窗,重叠窗口,cascade,
階層式樣式表,阶层式样式表,cascading Style Sheets,
全字拼寫須符合,全字匹配,case sensitive,
案例,实例,case,
卡式錄音帶,盒式录音带,casette,
轉型,转型,casting,
Catch 區塊,Catch 列块,catch block,
分類,分类,categorized,
因果 ID,因果 ID,causality ID,
CD 音訊特性,CD 音频特性,cd audio properties,
CD 音訊,CD 音频,cd audio,
光碟機,光驱,cd-rom drive,
CD-ROM 壓製,CD-ROM 压制,cd-rom generation,
燒錄器,刻录机,cd-rom recorder,
光碟,光盘,cd-rom,
儲存格,单元格,cell,
水平置中,水平居中,center Horizontally,
螢幕中央,屏幕中央,center Screen,
垂直置中,垂直居中,center Vertically,
對齊表單中央,对齐表单中央,center in Form,
置中對齊,居中,center justify,
憑證授權,凭证授权,certificate authority,
憑證管理器,凭证管理器,certificate manager,
真品憑證,真品凭证,certificate of Authenticity,
憑證特性,凭证特性,certificate properties,
憑證,凭证,certificate,網路交易、認證書實體
憑證,凭证,certification,
認證,认证,certify,網路交易、認證動作
鏈,链,chain,
大小寫轉換,大小写转换,change case,
變更圖示,更改图标,change icon,
變更國別設定,更改国别设置,change international options,
變更連接埠,更改端口,change port,
變更區域設定,更改区域设置,change region options,
變更方案,更改方案,change scheme,
變更腳本,更改脚本,change script,
變更設定值,更改设置数值,change setting,
變更視窗的位置,改变窗口位置,change the position of window,
變更視窗的大小,改变窗口大小,change the size of window,
頻道定義格式 (CDF),频道定义格式 (CDF),channel Definition Format,
頻道,频道,channel,
字元,字符,char,
字元碼,字符码,character code,
字元常數,字符常量,character constant,
磁碟機的字母代號,驱动器的字母代号,character device names,
字元索引,字符索引,character index,
字元常值,字符常值,character literal,
字元位移,字符位移,character offset,
字元集,字符集,character set,
字元,字符,character,
文字模式應用程式,文字模式应用程序,character-mode application,
字集,字符集,charactor set,
字元,字符,charactor,
圖表工作表,图表工作表,chart sheet,
圖表,图表,chart,
核取方塊,复选框,check box,
檢查條件約束,检查条件约束,check constraint,
勾選標記,勾选标志,check mark,
檢查使用者名稱,验证用户名,check user name,
勾選,勾选,check,只用在「核取選項」「核取方塊
檢查,检查,check,一般用途
核取方塊,复选框,checkbox,
已選取,已选定,checked,
橫向棋盤式,横向棋盘式,checkerboard Across,
縱向棋盤式,纵向棋盘式,checkerboard Down,
簽出本機版本,签出本机版本,checkout local version,
總和檢查碼,总和检查码,checksum,
子程式碼,子程序代码,child code,
子控制項,子控件,child control,
子表單,子表单,child forms,
子進程,子进程,child process,
子視窗,子窗口,child window,
子系,子系,children,
中文字,漢字,chinese chractor,
晶片,芯片,chip,
凹刻,凹刻,chiseled In,
凸刻,凸刻,chiseled Out,
選擇類別,选择类,choose Class,
選擇連線,链接选择,choose connection,
套索,套索,chord,
區塊包裝函式,列块包装函数,chunk wrapper,
區塊,列块,chunk,
圓形收縮,圆形收缩,circle in,
圓形放射,圆形放射,circle out,
循環相依,循环相依,circular dependencies,
循環參考,循环参考,circular reference,
CL 環境變數,CL 环境变量,cl environment variable,
類別識別項 (CLSID),类标识项 (CLSID),class ID,
類別模組,类模块,class Modules,
類別檢視,类查看,class View,
類別本體,类本体,class body,
類別瀏覽器,类浏览器,class browser,
類別產生器工具,类生成器工具,class builder utility,
類別定義,类定义,class declaration,
類別宣告,类声明,class declaration,
類別衍化清單,类继承列表,class derivation list,
類別工廠,类工厂,class factory,
類別檔案,类文件,class files,
類別標頭,类标头,class header,
類別階層,类阶层,class hierarchy,
類別識別項,类标识项,class identifier,
類別初始設定式,类初始设置式,class initializer,
類別實體,类实例,class instance,
類別庫,类库,class library,
類別方法程序,类方法程序,class method,
類別範圍,类范围,class scope,
類別模板部份特化,类模板偏特化,class template partial specializations,
類別模板特化,类模板特化,class template specializations,
類別模板,类模板,class template,
類別變數,类变量,class variable,
子句,子句,clause,
初始狀態的電腦,初始状态的计算机,clean machine,
全部清除,全部清除,clear all,
客戶端應用程式,客户端应用程序,client application,
客戶端工作區,客户端工作区,client area,
客戶端批次資料指標程式庫,客户端批量数据指标库,client batch cursor library,
客戶端認證,客户端验证,client certificate,
客戶端電腦,客户端计算机,client computer,
客戶端座標,客户端座标,client coordinates,
客戶端擴充功能,客户端扩充功能,client extension,
客戶端項目,客户端项,client item,
客戶端物件,客户端对象,client object,
客戶端腳本,客户端脚本,client script,
客戶端站台,客户端站点,client site,
客戶端層,客户端层,client tier,
客戶端,客户端,client,
主從架構,主从架构,client/server,
客戶端/伺服器,客户端/服务器,client/server,
素材檔案,碎片文件,clip file,用於視訊軟體
裁剪路徑,裁剪路径,clip path,
素材,素材,clip,用於視訊軟體
剪貼環,剪贴环,clipboard Ring,
剪貼簿檔案格式,剪贴板文件格式,clipboard format,
剪貼簿擁有人,剪贴板拥有人,clipboard owner,
剪貼簿檢視器,剪贴板查看器,clipboard viewer,
剪貼簿,剪贴板,clipboard,
剪貼簿檢視器鏈,剪贴板查看器链,clipboard-viewer chain,
裁剪精確值,裁剪精确值,clipping precision,
裁剪區域,裁剪区域,clipping region,
裁剪,裁剪,clipping,
仿製,克隆,clone,
仿製品,克隆,clone,
關閉並返回,关闭并返回,close and return,
臨近工作區,临近工作区,close region,
關閉現用的文件,关闭当前文档,close the active document,
結尾標記,结尾标志,closing tag,
CLS 相容,CLS 兼容,cls-compliant,
叢集,丛集,cluster,
叢集索引,丛集索引,clustered index,
聯名,联名,co-branded,
粗略,粗略,coarse,
coclass,coclass,coclass,
代碼管理器檔案總管,代码管理器资源管理器,code Librarian Explorer,
代碼管理器檢視器,代码管理器查看器,code Librarian Viewer,
代碼管理器,代码管理器,code Librarian,
代碼撰寫設定值,代码撰写设置数值,code Settings,
代碼檢視,代码查看,code View,
代碼檢視器,代码查看器,code Viewer,
代碼視窗文字,代码窗口文本,code Window Text,
代碼視窗,代码窗口,code Window,
代碼基底,代码基底,code base,
代註解,代码注解,code commenter,
代碼元件,代码组件,code components,
代碼項目,代码项目,code item,
代碼程式庫,代码库,code library,
代碼管理物件,代码管理对象,code manipulation objects,
字碼頁,代码页,code page,
代碼窗格,代码窗格,code panes,
代碼資源,代码资源,code resource,
代碼,代码,code,
代碼基底,代码基底,code-Base,
代碼後置的檔案,代码后置的文件,code-behind file,
代碼後置,代码后置,code-behind,
編碼解碼器,编码解码器,codec,用於視訊軟體
強制型轉,强制型转,coercion,
共同作業,共同作業,collaboration,
縮回上層,缩回上层,collapse Parent,
摺疊項目,摺叠项目,collapsed item,
定序,定序,collation,
集合類別,集合类,collection class,
集合編輯器,集合编辑器,collection editor,
集合物件,集合对象,collection object,
集合,集合,collection,
集合物件,集合对象,collection,
群集,群集,collection,
色彩常數,颜色常量,color constants,
色彩漸層,颜色渐层,color gradient,
色板,色板,color palette,
色彩方案,颜色方案,color scheme,
色彩,颜色,color,
資料欄標題,数据列标题,column headers,
資料欄,数据列,column,
縱列,纵列,column,
欄位,区域,column,
組合素材,组合素材,combine clips,
組合場景,组合情景,combine scenes,
組合方塊,组合框,combo Box,
組合方塊控制項,组合框控件,combo-box control,
命令按鈕,命令按钮,command Button,
命令行的引數,命令行的参量,command Line Arguments,
命令行引數的選項,命令行参量的选项,command Line Options,
由命令行載入,由命令行载入,command Line,
命令行,命令行,command Line,
命令檔案,命令文件,command file,
命令處理常式,命令处理常式,command handler,
命令識別項,命令标识项,command identifiers,
命令訊息,命令消息,command message,
註解文字,备注文字,comment Text,
註解分隔符號,备注分隔符号,comment delimiter,
註解,注释,comment,
認可大小,认可大小,commit size,
通用型對話方塊,通用型对话框,common Dialog,
通用閘道介面 (CGI),通用闸道介面 (CGI),common Gateway Interface,
通用物件檔案格式 (COFF),通用对象文件格式 (COFF),common Object File Format,
通用控制項,通用控件,common controls,
通用資料錄,通用数据录,common data record,
通用對話方塊,通用对话框,common dialog box,
壓縮型態的可執行檔案,压缩型态的可程序文件,compact executable file,
比較元,比较元,comparand,
比較檔案,比较文件,compare file,
比對子,比对符,comparer,
比較運算子,比较运算符,comparison operator,
相容的 OLE 伺服程式,兼容的 OLE 伺服程序,compatible OLE Server,
相容的物件應用程式,兼容的对象应用程序,compatible Object Application,
相容,兼容,compatible,
相容的,兼容的,compatible,
編譯單位,编译单位,compilation unit,
編譯,编译,compilation,
編譯時間,编译时间,compile time,
編譯時期錯誤,编译时期错误,compile-time error,
編譯資源檔案,编译资源文件,compiled resource file,
編譯器缺失報告,编译器缺失报告,compiler Defect Report,
編譯器,编译器,compiler,
終衍物件,终衍对象,complete object,
複雜命令集電腦 (CISC),复杂命令集计算机 (CISC),complex Instruction Set Computer,
複雜腳本,复杂脚本,complex script,
複雜繫結,复杂系结,complex-Bound,
相容,兼容,compliant,
元件展示廊,组件展示廊,component Gallery,
元件負載平衡,组件负载平衡,component Load Balancing,
元件名稱,组件名称,component Name,
元件物件模型 (COM),组件对象模型 (COM),component Object Model,
元件登錄器,组件登录器,component Registrar,
元件服務總管,组件服务总管,component Services Explorer,
元件匣,组件匣,component Tray,
元件精靈,组件向导,component Wizard,
元件程式碼產生器,组件代码生成器,component code generator,
元件物件,组件对象,component object,
元件專案,组件项目,component project,
元件選取器,组件选定器,component selector,
元件站台,组件站点,component site,
元件軟體,组件软件,component software,
元件,组件,component,
撰寫緩衝區,撰写缓冲区,compose buffer,
複合控制項,复合控件,composite control,
複合型,复合型,composite moniker,
複合視訊輸入,复合视频输入,composite video input,
複合視訊,复合视频,composite video,
複合,复合,compositing,
複合文件檔案,复合文件文件,compound document files,
複合文件,复合文件,compound document,
複合檔案,复合文件,compound file,
複合設定運算子,复合设置运算符,compound-assignment operator,
壓縮 SLIP,压缩 SLIP,compressed SLIP,
壓縮格式,压缩格式,compression format,
壓縮方法,压缩方法,compression scheme,微軟簡體譯為「壓縮的算法」。今更正。
壓縮方式,压缩方式,compression,
電腦輔助翻譯,计算机辅助翻译,computer assisted translation,
電腦名稱,计算机名,computer name,
電腦,计算机,computer,
串連索引鍵,串连索引键,concatenated key,
串連運算子,串连运算符,concatenation operator,
具象的,实在的,concrete,
同時連線,同时连接,concurrent connections,
並行,并行,concurrent/concurrency,
條件,条件,condition,
條件式編譯的引數:,条件式编译的参量:,conditional Compilation Arguments:,
條件區段,条件区段,conditional Section,
條件分支,条件分支,conditional branching,
條件中斷點,条件断开点,conditional breakpoint,
條件運算式,条件表达式,conditional expression,
條件式監看,条件式监看,conditional watch,
條件運算運算子,条件表达运算符,conditional-expression operator,
保險套,避孕套,condom,
組態完成,配置完成,configuration completed,
組態資料,配置数据,configuration data,
組態資料庫,配置数据库,configuration database,
組態錯誤,配置错误,configuration error,
組態檔案,配置文件,configuration file,
組態資訊,配置信息,configuration info,
組態管理器,配置管理器,configuration manager,
組態管理器,配置管理器,configuration manager,
組態參數,配置参数,configuration parameters,
組態設定值,配置设置数值,configuration setting,
組態精靈,配置向导,configuration wizard,
組態,配置,configuration,
組態的,配置的,configured,
組態新裝置,配置新设备,configuring new devices,
確認取代資料夾,确认文件夹替换,confirm folder replace,
衝突 ID,冲突 ID,conflict ID,
衝突的解決方式,冲突的解决方式,conflict resolution,
連接字串,连接字符串,connect string,
全部連線,全部连接,connect to All,
可連接物件,可连接对象,connectable object,
連線上,连接上,connected,
連線到,连接到,connecting to,
正在連線,正在连接,connecting,
連線切斷,连接断开,connection break,
使用中的連線,使用中的连接,connection in use,
連線已經中斷,链接可能被断开,connection lost,
連線導向,连接导向,connection oriented,
連線點,连接点,connection point,
連線共用,连接共用,connection pooling,
連線字串,连接字符串,connection string,
連線,连接,connection,
主控台,主控台,console,
常數,常量,const,相對於 variable
常數,常量,constance,相對於 variable
